estado,municipio,base,escenario,estado_norm,municipio_norm,cambio_detectable,municipio_inegi_norm,municipio_inegi,cve_ent,cve_mun,cvegeo,existe_en_inegi
TLAXCALA,TLAXCALA,BANAVIM,ALTA,TLAXCALA,TLAXCALA,False,TLAXCALA,Tlaxcala,29,033,29033,True
TLAXCALA,TLAXCO,BANAVIM,ALTA,TLAXCALA,TLAXCO,False,TLAXCO,Tlaxco,29,034,29034,True
TLAXCALA,TZOMPANTEPEC,BANAVIM,ALTA,TLAXCALA,TZOMPANTEPEC,False,TZOMPANTEPEC,Tzompantepec,29,038,29038,True
TLAXCALA,ZACATELCO,BANAVIM,ALTA,TLAXCALA,ZACATELCO,False,ZACATELCO,Zacatelco,29,044,29044,True
VERACRUZ,PEROTE,BANAVIM,ALTA,VERACRUZ,PEROTE,False,PEROTE,Perote,30,128,30128,True
VERACRUZ,TATAHUICAPAN DE JUAREZ,BANAVIM,ALTA,VERACRUZ,TATAHUICAPAN DE JUAREZ,False,TATAHUICAPAN DE JUAREZ,Tatahuicapan de Juárez,30,209,30209,True
VERACRUZ,TEPETZINTLA,BANAVIM,ALTA,VERACRUZ,TEPETZINTLA,False,TEPETZINTLA,Tepetzintla,30,167,30167,True
VERACRUZ,TUXPAN,BANAVIM,ALTA,VERACRUZ,TUXPAN,False,TUXPAN,Tuxpan,30,189,30189,True
VERACRUZ,VERACRUZ,BANAVIM,ALTA,VERACRUZ,VERACRUZ,False,VERACRUZ,Veracruz,30,193,30193,True
VERACRUZ,XALAPA,BANAVIM,ALTA,VERACRUZ,XALAPA,False,XALAPA,Xalapa,30,087,30087,True
VERACRUZ,ZONGOLICA,BANAVIM,ALTA,VERACRUZ,ZONGOLICA,False,ZONGOLICA,Zongolica,30,201,30201,True
YUCATAN,AKIL,BANAVIM,ALTA,YUCATAN,AKIL,False,AKIL,Akil,31,003,31003,True
YUCATAN,BACA,BANAVIM,ALTA,YUCATAN,BACA,False,BACA,Baca,31,004,31004,True
YUCATAN,CENOTILLO,BANAVIM,ALTA,YUCATAN,CENOTILLO,False,CENOTILLO,Cenotillo,31,012,31012,True
YUCATAN,CHEMAX,BANAVIM,ALTA,YUCATAN,CHEMAX,False,CHEMAX,Chemax,31,019,31019,True
YUCATAN,CONKAL,BANAVIM,ALTA,YUCATAN,CONKAL,False,CONKAL,Conkal,31,013,31013,True
YUCATAN,CUNCUNUL,BANAVIM,ALTA,YUCATAN,CUNCUNUL,False,CUNCUNUL,Cuncunul,31,014,31014,True
YUCATAN,DZAN,BANAVIM,ALTA,YUCATAN,DZAN,False,DZAN,Dzan,31,025,31025,True
YUCATAN,ESPITA,BANAVIM,ALTA,YUCATAN,ESPITA,False,ESPITA,Espita,31,032,31032,True
YUCATAN,HOCABA,BANAVIM,ALTA,YUCATAN,HOCABA,False,HOCABA,Hocabá,31,034,31034,True
YUCATAN,HUNUCMA,BANAVIM,ALTA,YUCATAN,HUNUCMA,False,HUNUCMA,Hunucmá,31,038,31038,True
YUCATAN,IZAMAL,BANAVIM,ALTA,YUCATAN,IZAMAL,False,IZAMAL,Izamal,31,040,31040,True
YUCATAN,KANASIN,BANAVIM,ALTA,YUCATAN,KANASIN,False,KANASIN,Kanasín,31,041,31041,True
YUCATAN,MERIDA,BANAVIM,ALTA,YUCATAN,MERIDA,False,MERIDA,Mérida,31,050,31050,True
YUCATAN,MOTUL,BANAVIM,ALTA,YUCATAN,MOTUL,False,MOTUL,Motul,31,052,31052,True
YUCATAN,OXKUTZCAB,BANAVIM,ALTA,YUCATAN,OXKUTZCAB,False,OXKUTZCAB,Oxkutzcab,31,056,31056,True
YUCATAN,PROGRESO,BANAVIM,ALTA,YUCATAN,PROGRESO,False,PROGRESO,Progreso,31,059,31059,True
YUCATAN,RIO LAGARTOS,BANAVIM,ALTA,YUCATAN,RIO LAGARTOS,False,RIO LAGARTOS,Río Lagartos,31,061,31061,True
YUCATAN,TEKIT,BANAVIM,ALTA,YUCATAN,TEKIT,False,TEKIT,Tekit,31,080,31080,True
YUCATAN,TIZIMIN,BANAVIM,ALTA,YUCATAN,TIZIMIN,False,TIZIMIN,Tizimín,31,096,31096,True
YUCATAN,UMAN,BANAVIM,ALTA,YUCATAN,UMAN,False,UMAN,Umán,31,101,31101,True
YUCATAN,VALLADOLID,BANAVIM,ALTA,YUCATAN,VALLADOLID,False,VALLADOLID,Valladolid,31,102,31102,True
YUCATAN,XOCCHEL,BANAVIM,ALTA,YUCATAN,XOCCHEL,False,XOCCHEL,Xocchel,31,103,31103,True
YUCATAN,YAXCABA,BANAVIM,ALTA,YUCATAN,YAXCABA,False,YAXCABA,Yaxcabá,31,104,31104,True
ZACATECAS,CALERA,BANAVIM,ALTA,ZACATECAS,CALERA,False,CALERA,Calera,32,005,32005,True
ZACATECAS,CHALCHIHUITES,BANAVIM,ALTA,ZACATECAS,CHALCHIHUITES,False,CHALCHIHUITES,Chalchihuites,32,009,32009,True
ZACATECAS,CONCEPCION DEL ORO,BANAVIM,ALTA,ZACATECAS,CONCEPCION DEL ORO,False,CONCEPCION DEL ORO,Concepción del Oro,32,007,32007,True
ZACATECAS,EL SALVADOR,BANAVIM,ALTA,ZACATECAS,EL SALVADOR,False,EL SALVADOR,El Salvador,32,041,32041,True
ZACATECAS,FRESNILLO,BANAVIM,ALTA,ZACATECAS,FRESNILLO,False,FRESNILLO,Fresnillo,32,010,32010,True
ZACATECAS,GUADALUPE,BANAVIM,ALTA,ZACATECAS,GUADALUPE,False,GUADALUPE,Guadalupe,32,017,32017,True
ZACATECAS,JEREZ,BANAVIM,ALTA,ZACATECAS,JEREZ,False,JEREZ,Jerez,32,020,32020,True
ZACATECAS,JUAN ALDAMA,BANAVIM,ALTA,ZACATECAS,JUAN ALDAMA,False,JUAN ALDAMA,Juan Aldama,32,022,32022,True
ZACATECAS,JUCHIPILA,BANAVIM,ALTA,ZACATECAS,JUCHIPILA,False,JUCHIPILA,Juchipila,32,023,32023,True
ZACATECAS,LUIS MOYA,BANAVIM,ALTA,ZACATECAS,LUIS MOYA,False,LUIS MOYA,Luis Moya,32,025,32025,True
ZACATECAS,MORELOS,BANAVIM,ALTA,ZACATECAS,MORELOS,False,MORELOS,Morelos,32,032,32032,True
ZACATECAS,PANUCO,BANAVIM,ALTA,ZACATECAS,PANUCO,False,PANUCO,Pánuco,32,037,32037,True
ZACATECAS,RIO GRANDE,BANAVIM,ALTA,ZACATECAS,RIO GRANDE,False,RIO GRANDE,Río Grande,32,039,32039,True
ZACATECAS,SOMBRERETE,BANAVIM,ALTA,ZACATECAS,SOMBRERETE,False,SOMBRERETE,Sombrerete,32,042,32042,True
ZACATECAS,ZACATECAS,BANAVIM,ALTA,ZACATECAS,ZACATECAS,False,ZACATECAS,Zacatecas,32,056,32056,True
CHIAPAS,BOCHIL,INE,ALTA,CHIAPAS,BOCHIL,False,BOCHIL,Bochil,07,013,07013,True
CHIAPAS,CAPITAN LUIS ANGEL VIDAL,INE,ALTA,CHIAPAS,CAPITAN LUIS ANGEL VIDAL,False,CAPITAN LUIS ANGEL VIDAL,Capitán Luis Ángel Vidal,07,120,07120,True
CHIAPAS,CATAZAJA,INE,ALTA,CHIAPAS,CATAZAJA,False,CATAZAJA,Catazajá,07,016,07016,True
CHIAPAS,TEOPISCA,INE,ALTA,CHIAPAS,TEOPISCA,False,TEOPISCA,Teopisca,07,094,07094,True
CHIAPAS,TUZANTAN,INE,ALTA,CHIAPAS,TUZANTAN,False,TUZANTAN,Tuzantán,07,103,07103,True
COAHUILA,FRANCISCO I MADERO,INE,ALTA,COAHUILA,FRANCISCO I MADERO,False,FRANCISCO I MADERO,Francisco I. Madero,05,009,05009,True
HIDALGO,ZIMAPAN,INE,ALTA,HIDALGO,ZIMAPAN,False,ZIMAPAN,Zimapán,13,084,13084,True
MORELOS,TETELA DEL VOLCAN,INE,ALTA,MORELOS,TETELA DEL VOLCAN,False,TETELA DEL VOLCAN,Tetela del Volcán,17,022,17022,True
NAYARIT,EL NAYAR,INE,ALTA,NAYARIT,EL NAYAR,False,,,,,,False
OAXACA,AYOQUEZCO DE ALDAMA,INE,ALTA,OAXACA,AYOQUEZCO DE ALDAMA,False,AYOQUEZCO DE ALDAMA,Ayoquezco de Aldama,20,398,20398,True
OAXACA,CIENEGA DE ZIMATLAN,INE,ALTA,OAXACA,CIENEGA DE ZIMATLAN,False,CIENEGA DE ZIMATLAN,Ciénega de Zimatlán,20,013,20013,True
OAXACA,CONCEPCION PAPALO,INE,ALTA,OAXACA,CONCEPCION PAPALO,False,CONCEPCION PAPALO,Concepción Pápalo,20,019,20019,True
OAXACA,LA REFORMA,INE,ALTA,OAXACA,LA REFORMA,False,LA REFORMA,La Reforma,20,076,20076,True
OAXACA,MAGDALENA APASCO,INE,ALTA,OAXACA,MAGDALENA APASCO,False,,,,,,False
OAXACA,SALINA CRUZ,INE,ALTA,OAXACA,SALINA CRUZ,False,SALINA CRUZ,Salina Cruz,20,079,20079,True
OAXACA,SAN ANDRES IXTLAHUACA,INE,ALTA,OAXACA,SAN ANDRES IXTLAHUACA,False,SAN ANDRES IXTLAHUACA,San Andrés Ixtlahuaca,20,092,20092,True
OAXACA,SAN ANDRES ZAUTLA,INE,ALTA,OAXACA,SAN ANDRES ZAUTLA,False,SAN ANDRES ZAUTLA,San Andrés Zautla,20,102,20102,True
OAXACA,SAN CRISTOBAL AMATLAN,INE,ALTA,OAXACA,SAN CRISTOBAL AMATLAN,False,SAN CRISTOBAL AMATLAN,San Cristóbal Amatlán,20,126,20126,True
OAXACA,SAN JACINTO AMILPAS,INE,ALTA,OAXACA,SAN JACINTO AMILPAS,False,SAN JACINTO AMILPAS,San Jacinto Amilpas,20,157,20157,True
OAXACA,SAN JERONIMO SOSOLA,INE,ALTA,OAXACA,SAN JERONIMO SOSOLA,False,SAN JERONIMO SOSOLA,San Jerónimo Sosola,20,161,20161,True
OAXACA,SAN LORENZO CACAOTEPEC,INE,ALTA,OAXACA,SAN LORENZO CACAOTEPEC,False,SAN LORENZO CACAOTEPEC,San Lorenzo Cacaotepec,20,227,20227,True
OAXACA,SAN NICOLAS,INE,ALTA,OAXACA,SAN NICOLAS,False,SAN NICOLAS,San Nicolás,20,289,20289,True
OAXACA,SANTA CATALINA QUIERI,INE,ALTA,OAXACA,SANTA CATALINA QUIERI,False,SANTA CATALINA QUIERI,Santa Catalina Quierí,20,361,20361,True
OAXACA,SANTA MARIA ATZOMPA,INE,ALTA,OAXACA,SANTA MARIA ATZOMPA,False,SANTA MARIA ATZOMPA,Santa María Atzompa,20,399,20399,True
OAXACA,SANTIAGO CHAZUMBA,INE,ALTA,OAXACA,SANTIAGO CHAZUMBA,False,,,,,,False
OAXACA,TANICHE,INE,ALTA,OAXACA,TANICHE,False,TANICHE,Taniche,20,542,20542,True
OAXACA,VILLA TEJUPAM DE LA UNION,INE,ALTA,OAXACA,VILLA TEJUPAM DE LA UNION,False,VILLA TEJUPAM DE LA UNION,Villa Tejúpam de la Unión,20,486,20486,True
PUEBLA,FRANCISCO Z MENA,INE,ALTA,PUEBLA,FRANCISCO Z MENA,False,FRANCISCO Z MENA,Francisco Z. Mena,21,064,21064,True
PUEBLA,SAN ANTONIO CANADA,INE,ALTA,PUEBLA,SAN ANTONIO CANADA,False,SAN ANTONIO CANADA,San Antonio Cañada,21,120,21120,True
PUEBLA,SANTIAGO MIAHUATLAN,INE,ALTA,PUEBLA,SANTIAGO MIAHUATLAN,False,SANTIAGO MIAHUATLAN,Santiago Miahuatlán,21,149,21149,True
PUEBLA,TUZAMAPAN DE GALEANA,INE,ALTA,PUEBLA,TUZAMAPAN DE GALEANA,False,TUZAMAPAN DE GALEANA,Tuzamapan de Galeana,21,192,21192,True
SAN LUIS POTOSI,ZARAGOZA,INE,ALTA,SAN LUIS POTOSI,ZARAGOZA,False,ZARAGOZA,Zaragoza,24,055,24055,True
TABASCO,CUNDUACAN,INE,ALTA,TABASCO,CUNDUACAN,False,CUNDUACAN,Cunduacán,27,006,27006,True
TABASCO,JALAPA,INE,ALTA,TABASCO,JALAPA,False,JALAPA,Jalapa,27,009,27009,True
TABASCO,JONUTA,INE,ALTA,TABASCO,JONUTA,False,JONUTA,Jonuta,27,011,27011,True
VERACRUZ,ALTO LUCERO DE GUTIERREZ BARRIOS,INE,ALTA,VERACRUZ,ALTO LUCERO DE GUTIERREZ BARRIOS,False,ALTO LUCERO DE GUTIERREZ BARRIOS,Alto Lucero de Gutiérrez Barrios,30,009,30009,True
VERACRUZ,ALTOTONGA,INE,ALTA,VERACRUZ,ALTOTONGA,False,ALTOTONGA,Altotonga,30,010,30010,True
VERACRUZ,COETZALA,INE,ALTA,VERACRUZ,COETZALA,False,COETZALA,Coetzala,30,041,30041,True
VERACRUZ,LERDO DE TEJADA,INE,ALTA,VERACRUZ,LERDO DE TEJADA,False,LERDO DE TEJADA,Lerdo de Tejada,30,097,30097,True
VERACRUZ,PEROTE,INE,ALTA,VERACRUZ,PEROTE,False,PEROTE,Perote,30,128,30128,True
AGUASCALIENTES,AGUASCALIENTES,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,AGUASCALIENTES,False,AGUASCALIENTES,Aguascalientes,01,001,01001,True
AGUASCALIENTES,ASIENTOS,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,ASIENTOS,False,ASIENTOS,Asientos,01,002,01002,True
AGUASCALIENTES,CALVILLO,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,CALVILLO,False,CALVILLO,Calvillo,01,003,01003,True
AGUASCALIENTES,COSIO,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,COSIO,False,COSIO,Cosío,01,004,01004,True
AGUASCALIENTES,EL LLANO,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,EL LLANO,False,EL LLANO,El Llano,01,010,01010,True
AGUASCALIENTES,JESUS MARIA,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,JESUS MARIA,False,JESUS MARIA,Jesús María,01,005,01005,True
AGUASCALIENTES,PABELLON DE ARTEAGA,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,PABELLON DE ARTEAGA,False,PABELLON DE ARTEAGA,Pabellón de Arteaga,01,006,01006,True
AGUASCALIENTES,RINCON DE ROMOS,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,RINCON DE ROMOS,False,RINCON DE ROMOS,Rincón de Romos,01,007,01007,True
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,False,SAN FRANCISCO DE LOS ROMO,San Francisco de los Romo,01,011,01011,True
AGUASCALIENTES,SAN JOSE DE GRACIA,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,SAN JOSE DE GRACIA,False,SAN JOSE DE GRACIA,San José de Gracia,01,008,01008,True
AGUASCALIENTES,TEPEZALA,BANAVIM,ALTA_MEDIA,AGUASCALIENTES,TEPEZALA,False,TEPEZALA,Tepezalá,01,009,01009,True
BAJA CALIFORNIA,ENSENADA,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA,ENSENADA,False,ENSENADA,Ensenada,02,001,02001,True
BAJA CALIFORNIA,MEXICALI,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA,MEXICALI,False,MEXICALI,Mexicali,02,002,02002,True
BAJA CALIFORNIA,PLAYAS DE ROSARITO,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA,PLAYAS DE ROSARITO,False,PLAYAS DE ROSARITO,Playas de Rosarito,02,005,02005,True
BAJA CALIFORNIA,TECATE,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA,TECATE,False,TECATE,Tecate,02,003,02003,True
BAJA CALIFORNIA,TIJUANA,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA,TIJUANA,False,TIJUANA,Tijuana,02,004,02004,True
BAJA CALIFORNIA SUR,COMONDU,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA SUR,COMONDU,False,COMONDU,Comondú,03,001,03001,True
BAJA CALIFORNIA SUR,LA PAZ,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA SUR,LA PAZ,False,LA PAZ,La Paz,03,003,03003,True
BAJA CALIFORNIA SUR,LORETO,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA SUR,LORETO,False,LORETO,Loreto,03,009,03009,True
BAJA CALIFORNIA SUR,LOS CABOS,BANAVIM,ALTA_MEDIA,BAJA CALIFORNIA SUR,LOS CABOS,False,LOS CABOS,Los Cabos,03,008,03008,True
CAMPECHE,CALKINI,BANAVIM,ALTA_MEDIA,CAMPECHE,CALKINI,False,CALKINI,Calkiní,04,001,04001,True
CAMPECHE,CHAMPOTON,BANAVIM,ALTA_MEDIA,CAMPECHE,CHAMPOTON,False,CHAMPOTON,Champotón,04,004,04004,True
CAMPECHE,CIUDAD DEL CARMEN,BANAVIM,ALTA_MEDIA,CAMPECHE,CIUDAD DEL CARMEN,False,,,,,,False
CAMPECHE,ESCARCEGA,BANAVIM,ALTA_MEDIA,CAMPECHE,ESCARCEGA,False,ESCARCEGA,Escárcega,04,009,04009,True
CAMPECHE,SAN FRANCISCO DE CAMPECHE,BANAVIM,ALTA_MEDIA,CAMPECHE,SAN FRANCISCO DE CAMPECHE,False,,,,,,False
CAMPECHE,XPUJIL,BANAVIM,ALTA_MEDIA,CAMPECHE,XPUJIL,False,,,,,,False
CDMX,ALVARO OBREGON,BANAVIM,ALTA_MEDIA,CDMX,ALVARO OBREGON,False,ALVARO OBREGON,Álvaro Obregón,09,010,09010,True
CDMX,AZCAPOTZALCO,BANAVIM,ALTA_MEDIA,CDMX,AZCAPOTZALCO,False,AZCAPOTZALCO,Azcapotzalco,09,002,09002,True
CDMX,BENITO JUAREZ,BANAVIM,ALTA_MEDIA,CDMX,BENITO JUAREZ,False,BENITO JUAREZ,Benito Juárez,09,014,09014,True
CDMX,COYOACAN,BANAVIM,ALTA_MEDIA,CDMX,COYOACAN,False,COYOACAN,Coyoacán,09,003,09003,True
CDMX,CUAJIMALPA DE MORELOS,BANAVIM,ALTA_MEDIA,CDMX,CUAJIMALPA DE MORELOS,False,CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,09,004,09004,True
CDMX,CUAUHTEMOC,BANAVIM,ALTA_MEDIA,CDMX,CUAUHTEMOC,False,CUAUHTEMOC,Cuauhtémoc,09,015,09015,True
CDMX,GUSTAVO A MADERO,BANAVIM,ALTA_MEDIA,CDMX,GUSTAVO A MADERO,False,GUSTAVO A MADERO,Gustavo A. Madero,09,005,09005,True
CDMX,IZTACALCO,BANAVIM,ALTA_MEDIA,CDMX,IZTACALCO,False,IZTACALCO,Iztacalco,09,006,09006,True
CDMX,IZTAPALAPA,BANAVIM,ALTA_MEDIA,CDMX,IZTAPALAPA,False,IZTAPALAPA,Iztapalapa,09,007,09007,True
CDMX,LA MAGDALENA CONTRERAS,BANAVIM,ALTA_MEDIA,CDMX,LA MAGDALENA CONTRERAS,False,LA MAGDALENA CONTRERAS,La Magdalena Contreras,09,008,09008,True
CDMX,MIGUEL HIDALGO,BANAVIM,ALTA_MEDIA,CDMX,MIGUEL HIDALGO,False,MIGUEL HIDALGO,Miguel Hidalgo,09,016,09016,True
CDMX,MILPA ALTA,BANAVIM,ALTA_MEDIA,CDMX,MILPA ALTA,False,MILPA ALTA,Milpa Alta,09,009,09009,True
CDMX,TLAHUAC,BANAVIM,ALTA_MEDIA,CDMX,TLAHUAC,False,TLAHUAC,Tláhuac,09,011,09011,True
CDMX,TLALPAN,BANAVIM,ALTA_MEDIA,CDMX,TLALPAN,False,TLALPAN,Tlalpan,09,012,09012,True
CDMX,VENUSTIANO CARRANZA,BANAVIM,ALTA_MEDIA,CDMX,VENUSTIANO CARRANZA,False,VENUSTIANO CARRANZA,Venustiano Carranza,09,017,09017,True
CDMX,XOCHIMILCO,BANAVIM,ALTA_MEDIA,CDMX,XOCHIMILCO,False,XOCHIMILCO,Xochimilco,09,013,09013,True
CHIAPAS,ACACOYAGUA,BANAVIM,ALTA_MEDIA,CHIAPAS,ACACOYAGUA,False,ACACOYAGUA,Acacoyagua,07,001,07001,True
CHIAPAS,ACALA,BANAVIM,ALTA_MEDIA,CHIAPAS,ACALA,False,ACALA,Acala,07,002,07002,True
CHIAPAS,ACAPETAHUA,BANAVIM,ALTA_MEDIA,CHIAPAS,ACAPETAHUA,False,ACAPETAHUA,Acapetahua,07,003,07003,True
CHIAPAS,ALDAMA,BANAVIM,ALTA_MEDIA,CHIAPAS,ALDAMA,False,ALDAMA,Aldama,07,113,07113,True
CHIAPAS,ALTAMIRANO,BANAVIM,ALTA_MEDIA,CHIAPAS,ALTAMIRANO,False,ALTAMIRANO,Altamirano,07,004,07004,True
CHIAPAS,AMATAN,BANAVIM,ALTA_MEDIA,CHIAPAS,AMATAN,False,AMATAN,Amatán,07,005,07005,True
CHIAPAS,AMATENANGO DEL VALLE,BANAVIM,ALTA_MEDIA,CHIAPAS,AMATENANGO DEL VALLE,False,AMATENANGO DEL VALLE,Amatenango del Valle,07,007,07007,True
CHIAPAS,ANGEL ALBINO CORZO,BANAVIM,ALTA_MEDIA,CHIAPAS,ANGEL ALBINO CORZO,False,ANGEL ALBINO CORZO,Ángel Albino Corzo,07,008,07008,True
CHIAPAS,ARRIAGA,BANAVIM,ALTA_MEDIA,CHIAPAS,ARRIAGA,False,ARRIAGA,Arriaga,07,009,07009,True
CHIAPAS,BENEMERITO DE LAS AMERICAS,BANAVIM,ALTA_MEDIA,CHIAPAS,BENEMERITO DE LAS AMERICAS,False,BENEMERITO DE LAS AMERICAS,Benemérito de las Américas,07,114,07114,True
CHIAPAS,BERRIOZABAL,BANAVIM,ALTA_MEDIA,CHIAPAS,BERRIOZABAL,False,BERRIOZABAL,Berriozábal,07,012,07012,True
CHIAPAS,BOCHIL,BANAVIM,ALTA_MEDIA,CHIAPAS,BOCHIL,False,BOCHIL,Bochil,07,013,07013,True
CHIAPAS,CACAHOATAN,BANAVIM,ALTA_MEDIA,CHIAPAS,CACAHOATAN,False,CACAHOATAN,Cacahoatán,07,015,07015,True
CHIAPAS,CATAZAJA,BANAVIM,ALTA_MEDIA,CHIAPAS,CATAZAJA,False,CATAZAJA,Catazajá,07,016,07016,True
CHIAPAS,CHALCHIHUITAN,BANAVIM,ALTA_MEDIA,CHIAPAS,CHALCHIHUITAN,False,CHALCHIHUITAN,Chalchihuitán,07,022,07022,True
CHIAPAS,CHAMULA,BANAVIM,ALTA_MEDIA,CHIAPAS,CHAMULA,False,CHAMULA,Chamula,07,023,07023,True
CHIAPAS,CHANAL,BANAVIM,ALTA_MEDIA,CHIAPAS,CHANAL,False,CHANAL,Chanal,07,024,07024,True
CHIAPAS,CHAPULTENANGO,BANAVIM,ALTA_MEDIA,CHIAPAS,CHAPULTENANGO,False,CHAPULTENANGO,Chapultenango,07,025,07025,True
CHIAPAS,CHENALHO,BANAVIM,ALTA_MEDIA,CHIAPAS,CHENALHO,False,CHENALHO,Chenalhó,07,026,07026,True
CHIAPAS,CHIAPA DE CORZO,BANAVIM,ALTA_MEDIA,CHIAPAS,CHIAPA DE CORZO,False,CHIAPA DE CORZO,Chiapa de Corzo,07,027,07027,True
CHIAPAS,CHIAPILLA,BANAVIM,ALTA_MEDIA,CHIAPAS,CHIAPILLA,False,CHIAPILLA,Chiapilla,07,028,07028,True
CHIAPAS,CHICOMUSELO,BANAVIM,ALTA_MEDIA,CHIAPAS,CHICOMUSELO,False,CHICOMUSELO,Chicomuselo,07,030,07030,True
CHIAPAS,CHILON,BANAVIM,ALTA_MEDIA,CHIAPAS,CHILON,False,CHILON,Chilón,07,031,07031,True
CHIAPAS,CINTALAPA,BANAVIM,ALTA_MEDIA,CHIAPAS,CINTALAPA,False,,,,,,False
CHIAPAS,COAPILLA,BANAVIM,ALTA_MEDIA,CHIAPAS,COAPILLA,False,COAPILLA,Coapilla,07,018,07018,True
CHIAPAS,COMITAN DE DOMINGUEZ,BANAVIM,ALTA_MEDIA,CHIAPAS,COMITAN DE DOMINGUEZ,False,COMITAN DE DOMINGUEZ,Comitán de Domínguez,07,019,07019,True
CHIAPAS,COPAINALA,BANAVIM,ALTA_MEDIA,CHIAPAS,COPAINALA,False,COPAINALA,Copainalá,07,021,07021,True
CHIAPAS,EL BOSQUE,BANAVIM,ALTA_MEDIA,CHIAPAS,EL BOSQUE,False,EL BOSQUE,El Bosque,07,014,07014,True
CHIAPAS,EL PORVENIR,BANAVIM,ALTA_MEDIA,CHIAPAS,EL PORVENIR,False,EL PORVENIR,El Porvenir,07,070,07070,True
CHIAPAS,ESCUINTLA,BANAVIM,ALTA_MEDIA,CHIAPAS,ESCUINTLA,False,ESCUINTLA,Escuintla,07,032,07032,True
CHIAPAS,FRONTERA COMALAPA,BANAVIM,ALTA_MEDIA,CHIAPAS,FRONTERA COMALAPA,False,FRONTERA COMALAPA,Frontera Comalapa,07,034,07034,True
CHIAPAS,FRONTERA HIDALGO,BANAVIM,ALTA_MEDIA,CHIAPAS,FRONTERA HIDALGO,False,FRONTERA HIDALGO,Frontera Hidalgo,07,035,07035,True
CHIAPAS,HUEHUETAN,BANAVIM,ALTA_MEDIA,CHIAPAS,HUEHUETAN,False,HUEHUETAN,Huehuetán,07,037,07037,True
CHIAPAS,HUITIUPAN,BANAVIM,ALTA_MEDIA,CHIAPAS,HUITIUPAN,False,HUITIUPAN,Huitiupán,07,039,07039,True
CHIAPAS,HUIXTAN,BANAVIM,ALTA_MEDIA,CHIAPAS,HUIXTAN,False,HUIXTAN,Huixtán,07,038,07038,True
CHIAPAS,HUIXTLA,BANAVIM,ALTA_MEDIA,CHIAPAS,HUIXTLA,False,HUIXTLA,Huixtla,07,040,07040,True
CHIAPAS,IXTACOMITAN,BANAVIM,ALTA_MEDIA,CHIAPAS,IXTACOMITAN,False,IXTACOMITAN,Ixtacomitán,07,043,07043,True
CHIAPAS,IXTAPA,BANAVIM,ALTA_MEDIA,CHIAPAS,IXTAPA,False,IXTAPA,Ixtapa,07,044,07044,True
CHIAPAS,IXTAPANGAJOYA,BANAVIM,ALTA_MEDIA,CHIAPAS,IXTAPANGAJOYA,False,IXTAPANGAJOYA,Ixtapangajoya,07,045,07045,True
CHIAPAS,JIQUIPILAS,BANAVIM,ALTA_MEDIA,CHIAPAS,JIQUIPILAS,False,JIQUIPILAS,Jiquipilas,07,046,07046,True
CHIAPAS,JITOTOL,BANAVIM,ALTA_MEDIA,CHIAPAS,JITOTOL,False,JITOTOL,Jitotol,07,047,07047,True
CHIAPAS,JUAREZ,BANAVIM,ALTA_MEDIA,CHIAPAS,JUAREZ,False,JUAREZ,Juárez,07,048,07048,True
CHIAPAS,LA CONCORDIA,BANAVIM,ALTA_MEDIA,CHIAPAS,LA CONCORDIA,False,LA CONCORDIA,La Concordia,07,020,07020,True
CHIAPAS,LA GRANDEZA,BANAVIM,ALTA_MEDIA,CHIAPAS,LA GRANDEZA,False,LA GRANDEZA,La Grandeza,07,036,07036,True
CHIAPAS,LA INDEPENDENCIA,BANAVIM,ALTA_MEDIA,CHIAPAS,LA INDEPENDENCIA,False,LA INDEPENDENCIA,La Independencia,07,041,07041,True
CHIAPAS,LA TRINITARIA,BANAVIM,ALTA_MEDIA,CHIAPAS,LA TRINITARIA,False,LA TRINITARIA,La Trinitaria,07,099,07099,True
CHIAPAS,LARRAINZAR,BANAVIM,ALTA_MEDIA,CHIAPAS,LARRAINZAR,False,LARRAINZAR,Larráinzar,07,049,07049,True
CHIAPAS,LAS MARGARITAS,BANAVIM,ALTA_MEDIA,CHIAPAS,LAS MARGARITAS,False,LAS MARGARITAS,Las Margaritas,07,052,07052,True
