sim_municipio,sim_vinculo,sim_sexo,score,idx_ine,idx_bv,municipio_ine,estado_ine,sexo_ine,vinculo_grupo_ine,vinculo_victima_ine,municipio_bv,estado_bv,sexo_bv,vinculo_grupo_bv,edad_bv,escolaridad_bv,estado_civil_bv,Portaba Dicha Arma_bv,Droga_Alcohol_bv,año_banavim_bv,fuente_bv
1.0,1,1,3.0,101,596805,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,41.0,No identificado,,,0,2022,BANAVIM
1.0,1,1,3.0,104,26771,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,50.0,Licenciatura,,,0,2020,BANAVIM
1.0,1,1,3.0,104,28330,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,50.0,Licenciatura,,,0,2020,BANAVIM
1.0,1,1,3.0,104,302209,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,54.0,Licenciatura,Casado,,1,2021,BANAVIM
1.0,1,1,3.0,104,592537,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,52.0,Licenciatura,Casado,,1,2022,BANAVIM
1.0,1,1,3.0,104,597999,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,36.0,Licenciatura,No identificado,,0,2022,BANAVIM
1.0,1,1,3.0,129,21435,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,20.0,Licenciatura,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,129,28062,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,28.0,Preparatoria,No identificado,,1,2020,BANAVIM
1.0,1,1,3.0,129,30633,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,34.0,No identificado,Casado,,0,2020,BANAVIM
1.0,1,1,3.0,129,306815,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,23.0,Licenciatura,,,0,2021,BANAVIM
1.0,1,1,3.0,129,594624,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,21.0,No identificado,Soltero,,0,2022,BANAVIM
1.0,1,1,3.0,129,594917,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,55.0,No identificado,Soltero,,0,2022,BANAVIM
1.0,1,1,3.0,129,596786,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,31.0,Licenciatura,,,0,2022,BANAVIM
1.0,1,1,3.0,129,596805,SAN CRISTOBAL AMATLAN,OAXACA,H,PARES,PARES,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,PARES,41.0,No identificado,,,0,2022,BANAVIM
1.0,1,1,3.0,150,165175,SAN NICOLAS,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN NICOLAS DE LOS GARZA,NUEVO LEON,H,JERARQUICA_SUBORDINACION,25.0,Licenciatura,Soltero,,0,2020,BANAVIM
1.0,1,1,3.0,150,168697,SAN NICOLAS,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN NICOLAS DE LOS GARZA,NUEVO LEON,H,JERARQUICA_SUBORDINACION,50.0,No identificado,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,150,175864,SAN NICOLAS,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN NICOLAS DE LOS GARZA,NUEVO LEON,H,JERARQUICA_SUBORDINACION,65.0,Maestría,Casado,,0,2020,BANAVIM
1.0,1,1,3.0,150,702671,SAN NICOLAS,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN NICOLAS DE LOS GARZA,NUEVO LEON,H,JERARQUICA_SUBORDINACION,61.0,Preparatoria,Casado,,0,2022,BANAVIM
1.0,1,1,3.0,153,26771,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,50.0,Licenciatura,,,0,2020,BANAVIM
1.0,1,1,3.0,153,28330,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,50.0,Licenciatura,,,0,2020,BANAVIM
1.0,1,1,3.0,153,302209,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,54.0,Licenciatura,Casado,,1,2021,BANAVIM
1.0,1,1,3.0,153,592537,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,52.0,Licenciatura,Casado,,1,2022,BANAVIM
1.0,1,1,3.0,153,597999,SAN CRISTOBAL AMATLAN,OAXACA,H,JERARQUICA_SUBORDINACION,JERARQUICA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,H,JERARQUICA_SUBORDINACION,36.0,Licenciatura,No identificado,,0,2022,BANAVIM
1.0,1,1,3.0,22,724418,SAN ANTONIO CANADA,PUEBLA,H,PARES,PARES,SAN ANTONIO DE LA CAL,OAXACA,H,PARES,50.0,Primaria,Casado,SI,1,2022,BANAVIM
1.0,1,1,3.0,42,51663,ZIMAPAN,HIDALGO,H,JERARQUICA_SUBORDINACION,JERARQUICA,ZIMAPAN,HIDALGO,H,JERARQUICA_SUBORDINACION,45.0,No identificado,,,0,2020,BANAVIM
