escenario,tipo,estado_municipio
ALTA,solo_banavim,CHIAPAS - VENUSTIANO CARRANZA
ALTA,solo_banavim,CHIAPAS - VILLAFLORES
ALTA,solo_banavim,CHIAPAS - YAJALON
ALTA,solo_banavim,CHIAPAS - ZINACANTAN
ALTA,solo_banavim,CHIHUAHUA - CHIHUAHUA
ALTA,solo_banavim,CHIHUAHUA - GOMEZ FARIAS
ALTA,solo_banavim,CHIHUAHUA - GUACHOCHI
ALTA,solo_banavim,CHIHUAHUA - HIDALGO DEL PARRAL
ALTA,solo_banavim,CHIHUAHUA - JUAREZ
ALTA,solo_banavim,COAHUILA - ACUNA
ALTA,solo_banavim,COAHUILA - FRONTERA
ALTA,solo_banavim,COAHUILA - GENERAL CEPEDA
ALTA,solo_banavim,COAHUILA - MATAMOROS
ALTA,solo_banavim,COAHUILA - MONCLOVA
ALTA,solo_banavim,COAHUILA - PARRAS
ALTA,solo_banavim,COAHUILA - PIEDRAS NEGRAS
ALTA,solo_banavim,COAHUILA - SABINAS
ALTA,solo_banavim,COAHUILA - SALTILLO
ALTA,solo_banavim,COAHUILA - SAN JUAN DE SABINAS
ALTA,solo_banavim,COAHUILA - SAN PEDRO
ALTA,solo_banavim,COAHUILA - TORREON
ALTA,solo_banavim,COLIMA - CIUDAD DE ARMERIA
ALTA,solo_banavim,COLIMA - CIUDAD DE VILLA DE ALVAREZ
ALTA,solo_banavim,COLIMA - COLIMA
ALTA,solo_banavim,COLIMA - CUAUHTEMOC
ALTA,solo_banavim,COLIMA - MANZANILLO
ALTA,solo_banavim,COLIMA - MINATITLAN
ALTA,solo_banavim,COLIMA - TECOMAN
ALTA,solo_banavim,DURANGO - DURANGO
ALTA,solo_banavim,DURANGO - GOMEZ PALACIO
ALTA,solo_banavim,DURANGO - GUADALUPE VICTORIA
ALTA,solo_banavim,DURANGO - LERDO
ALTA,solo_banavim,DURANGO - PUEBLO NUEVO
ALTA,solo_banavim,GUANAJUATO - CELAYA
ALTA,solo_banavim,GUANAJUATO - GUANAJUATO
